物件一覽表,所在地點,取得章節,功能,文字說明
粉底盒,道具欄,一,道具,一個普通的粉底盒。上面鑲了<孟亦安>和我的照片。
手電筒,4_1_1 'D女房間',一,道具,手電筒。居家必備良物。
床底,4_1_1 'D女房間',一,開鎖,床底下。
化妝台,4_1_1 'D女房間',一,開鎖、觸發,化妝台。似乎少了些化妝品。
左上櫃,4_1_1 'D女房間',,X,櫃子裡甚麼都沒有。
粉色禮服,4_1_1 'D女房間',,X,上次十系聯合舞會穿的禮服。
貓咪,4_1_1 'D女房間',,X,我養的貓咪。「喵喵喵」
右上櫃,4_1_1 'D女房間',,X,這個櫃子太高了我拿不到。
木製小盒子,4_1_1 'D女房間',,開鎖,木製小盒子。
長尺,4_1_1 'D女房間',,道具,很長的折疊尺。
床底,4_2_1 'D女房間',二,開鎖,床底下的縫隙太小了，我的手伸不進去。
化妝台,4_2_1 'D女房間',,X,我的化妝台。
左上櫃,4_2_1 'D女房間',,X,櫃子裡甚麼都沒有。
粉色禮服,4_2_1 'D女房間',,X,上次十系聯合舞會穿的禮服。
貓咪,4_2_1 'D女房間',,X,我養的貓咪。「喵喵喵」
木製小盒子,4_2_1 'D女房間',二,開鎖,木製小盒子。
長尺,4_2_1 'D女房間',一、二,道具,很長的折疊尺。
木盒的鑰匙,道具欄,二,道具,木盒的鑰匙。
淺草寺明信片,4_2_1 'D女房間',二,線索,<孟亦安>去日本玩時寄給我的明信片。上面寫著：「我在淺草寺天氣晴！」不過我昨天不小心把房間鑰匙掉到電視櫃底下，害我費了好一番功夫才用長尺把它勾出來。
小書包吊飾,道具欄,二,道具、觸發,
右上櫃,4_2_1 'D女房間',,X,這個櫃子太高了我拿不到。
交往合約,4_3_1 'D女房間二',,線索,與<何品謙>的交往合約。「對了...還有這麼一個人存在...。雖然很不想，但現在的我只能找他了。我記得他的電話號碼放在上次舞會穿的禮服裡面」
粉色禮服二,4_3_1 'D女房間二',,線索,獲得道具：<何品謙>的電話號碼。已經加入手機了。
,,,,
歐希土勒夫香水,4_4_2 'D女抽屜',,道具、觸發,
何品謙,道具欄,四,道具,何品謙。恩...沒什麼好說的，不過是身高高了點。
